features,Variance sum (m=none),Variance sum (m=50),Variance sum (m=500),Variance sum (m=1500),Variance sum (m=15000),Variance sum (m=75000),Variance sum (m=all)
fico,0.0,983.4164289704305,501.57254664342156,453.53525541190544,453.3434703599625,489.77571997074324,3.2638123917022872e-25
flag_fthb,0.0,2.1793588162342914,1.0166715090469411,1.2370953235819995,0.9985411863210885,1.1196818264941426,1.1474340439578355e-28
mi_pct,0.0,19.139858964176284,6.41616022901822,8.680707058047451,5.005057577022875,6.101908782249247,1.1474340439578355e-28
cltv_pct,0.0,303.5896034904723,75.05712339424936,82.31600287957463,58.46700249329623,50.20254489016486,2.0398827448139296e-28
dti_pct,0.0,59.649446711060946,33.84085668412722,28.723935543694054,24.350083807126307,23.755900230612607,1.274926715508706e-27
orig_upb,0.0,14.460134522642297,32.94372769393162,5.7256301030872345,8.327450520860827,19.848668605302656,3.2638123917022874e-27
int_rt_pct,0.0,123.46826143617697,65.72348059256971,59.527450298697005,53.36330328143604,52.14390557427368,1.274926715508706e-27
orig_loan_term,0.0,58.31379069174341,31.509427304925858,22.7022965886934,27.54127247735977,25.967480470204215,1.274926715508706e-27
cnt_borr,0.0,256.5347517350601,144.8496003516534,124.28973123932977,113.7466375502094,111.91294276057738,5.22209982672366e-26
flag_sc,0.0,0.011776275102716484,0.00873008155834873,0.0072325162118675465,0.008870966094177027,0.005956225505375776,1.2450456206139707e-32
rel_ref_ind,0.0,22.370609292093093,12.570370929020946,13.943098204032887,11.095340709484445,9.212547968584701,3.187316788771765e-30
cnt_units_2,0.0,0.999027103059479,0.5850044616121539,0.3867406725140534,0.4089974786650268,0.25767406326997255,1.992072992982353e-29
cnt_units_3,0.0,0.014140760365385004,0.0021331768974034134,0.002818542449027634,0.0009810320421915844,0.012765872334657053,2.3830951332064282e-33
cnt_units_4,0.0,6.58410685817963e-05,2.6034031784381088e-05,1.631516278614466e-05,2.096576513348018e-05,2.1069357455650475e-05,6.839239859329673e-36
occpy_sts_P,0.0,0.5652504578381099,0.30167035511772067,0.303422639376697,0.23760061955847067,0.18306434398888566,9.76115766561353e-30
occpy_sts_S,0.0,0.1739580525831264,0.1331550635909017,0.12824241830364352,0.11142066512297226,0.12296506634069886,4.482164234210295e-31
channel_C,0.0,2.259702035026651,0.8189574670542682,0.9453163976970798,0.9301252777949879,0.816044912798627,2.0398827448139296e-28
channel_R,0.0,7.560388276733764,3.827588129729712,3.82549924382211,3.765428694686942,3.580071024461615,5.099706862034824e-29
prop_type_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prop_type_MH,0.0,0.02911159087522404,0.007842264411340864,0.07935197769323435,0.08549121464399334,0.03143061602900873,5.260317747094026e-31
prop_type_PU,0.0,0.33954078468982907,0.2246006383015024,0.1776223834416687,0.19402486844503034,0.17745359185696377,9.76115766561353e-30
prop_type_SF,0.0,10.548748245029513,6.430075954690237,5.037423491467463,4.624698052479416,5.8423572184339125,1.274926715508706e-27
loan_purpose_N,0.0,8.610235236490201,5.533220299736796,4.417877614805843,5.083293728654295,5.848978418953312,1.5617852264981648e-28
loan_purpose_P,0.0,26.37096382897325,14.841695875743275,12.072372594147563,9.991553602822535,11.216020494858823,1.274926715508706e-27
pgrm_ind_Y,0.0,11.792306555069578,4.075598332980384,3.3024574319512343,3.665089596363508,3.898415322379446,1.8358944703325367e-27
pre_relief_prog_F,0.0,7.3891202814373935,3.919442709798779,4.179433752695374,3.6702417588617027,3.6118887504100043,3.8566533144138357e-28
pre_relief_prog_N,0.0,70.66071832396223,46.000733949256464,53.88572543087317,36.40994570069716,35.0978171567079,5.099706862034824e-29
seller_name_BRANCH BANKING & TRUST COMPANY,0.0,0.0330285235572601,0.013757630356206764,0.019084668206258714,0.024444728056129978,0.01790779377734791,7.781535128837317e-32
"seller_name_CALIBER HOME LOANS, INC.",0.0,149.22239431443265,70.38608717135602,153.68253669260196,112.89346299037682,56.083357162409925,1.1474340439578355e-28
"seller_name_CITIMORTGAGE, INC.",0.0,2.4637510330950194,1.6620375166561425,1.1532791236359257,0.9552840085695303,0.9993268222554248,2.4104083215086473e-29
"seller_name_FLAGSTAR BANK, FSB",8.159530979255719e-28,0.8338432052988692,1.150177957787734,0.8703633224978631,0.5168105435010666,0.7411082366724369,7.171462774736472e-30
seller_name_FRANKLIN AMERICAN MORTGAGE COMPANY,0.0,0.15082257723544573,0.09641266239222483,0.10429722343827637,0.07310940711918837,0.07307120907112238,7.003381615953586e-33
"seller_name_GUARANTEED RATE, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"seller_name_JPMORGAN CHASE BANK, N.A.",0.0,3.4169534577288934,1.7412150861573172,0.8551147770234897,1.19489067687439,1.7881168508991332,4.482164234210295e-31
"seller_name_LOANDEPOT.COM, LLC",0.0,0.017198721674356283,0.0028061628532132133,0.0034945306476062395,0.002306182024622949,0.013873811179782878,4.980182482455883e-32
seller_name_NATIONSTAR MORTGAGE LLC,0.0,2.0594102188189245,1.0416084906636867,0.6144918274845337,0.7364846683058179,0.45805086230400516,9.76115766561353e-30
seller_name_Other sellers,0.0,41.81189954475595,23.50649720530352,20.09829875762046,18.995596606991867,19.475040601330534,6.170645303062137e-27
seller_name_QUICKEN LOANS INC.,0.0,6.66514437296709,2.567112650261143,3.526859282117759,2.4630629971439344,2.2344484288126734,0.0
"seller_name_STEARNS LENDING, LLC",0.0,3.078939988222932,1.640974271791163,1.6668518683219664,0.9518657741094396,2.7812271723926445,1.792865693684118e-30
"seller_name_SUNTRUST MORTGAGE, INC.",0.0,0.10538587214578862,0.13838293228880003,0.09410169488410368,0.08193750570319758,0.09349433332945882,1.0084869526973162e-30
seller_name_U.S. BANK N.A.,0.0,89.27584018270726,102.9381932906315,59.75949089920239,67.91072655870508,35.44521058473185,3.187316788771765e-30
"seller_name_WELLS FARGO BANK, N.A.",0.0,3146.9880641069167,1094.212458992573,1367.1688958241195,1153.266267441354,1060.7517864951192,1.8358944703325367e-27
