Ranking of Feature (from most to least important),Possible Rankings with m=none,Possible Rankings with m=50,Possible Rankings with m=500,Possible Rankings with m=1500,Possible Rankings with m=15000,Possible Rankings with m=75000,Possible Rankings with m=all
11,['orig_loan_term'],"['pre_relief_prog_N' 'orig_loan_term' 'orig_upb'
 'seller_name_CALIBER HOME LOANS, ' 'seller_name_Other sellers' 'st_FL'
 'mi_pct' 'servicer_name_JPMORGAN CHASE BAN' 'pgrm_ind_Y' 'loan_purpose_P']","['seller_name_Other sellers' 'orig_upb' 'servicer_name_JPMORGAN CHASE BAN'
 'orig_loan_term' 'pre_relief_prog_N' 'st_FL' 'loan_purpose_P'
 'seller_name_CALIBER HOME LOANS, ']","['orig_loan_term' 'seller_name_Other sellers' 'orig_upb' 'mi_pct'
 'pre_relief_prog_N' 'servicer_name_JPMORGAN CHASE BAN'
 'seller_name_U.S. BANK N.A.' 'st_FL' 'pgrm_ind_Y']","['orig_loan_term' 'st_FL' 'orig_upb' 'seller_name_Other sellers'
 'seller_name_U.S. BANK N.A.' 'servicer_name_JPMORGAN CHASE BAN'
 'pre_relief_prog_N' 'mi_pct']","['seller_name_Other sellers' 'orig_upb' 'orig_loan_term' 'st_FL'
 'servicer_name_JPMORGAN CHASE BAN' 'pre_relief_prog_N'
 'seller_name_U.S. BANK N.A.']",['orig_upb']
12,['seller_name_Other sellers'],"['orig_upb' 'seller_name_U.S. BANK N.A.' 'pgrm_ind_Y' 'mi_pct'
 'seller_name_Other sellers' 'orig_loan_term'
 'servicer_name_JPMORGAN CHASE BAN' 'loan_purpose_P' 'st_FL'
 'seller_name_CALIBER HOME LOANS, ' 'servicer_name_QUICKEN LOANS INC.'
 'pre_relief_prog_N']","['orig_loan_term' 'seller_name_Other sellers' 'mi_pct' 'orig_upb'
 'pre_relief_prog_N' 'st_FL' 'servicer_name_JPMORGAN CHASE BAN'
 'seller_name_U.S. BANK N.A.' 'pgrm_ind_Y']","['seller_name_Other sellers' 'orig_loan_term' 'pre_relief_prog_N'
 'orig_upb' 'mi_pct' 'servicer_name_JPMORGAN CHASE BAN' 'st_FL'
 'seller_name_CALIBER HOME LOANS, ' 'seller_name_U.S. BANK N.A.'
 'pgrm_ind_Y']","['orig_upb' 'mi_pct' 'servicer_name_JPMORGAN CHASE BAN'
 'seller_name_Other sellers' 'orig_loan_term' 'pre_relief_prog_N'
 'seller_name_CALIBER HOME LOANS, ' 'pgrm_ind_Y']","['orig_upb' 'orig_loan_term' 'st_FL' 'seller_name_Other sellers' 'mi_pct'
 'servicer_name_JPMORGAN CHASE BAN' 'pre_relief_prog_N'
 'seller_name_CALIBER HOME LOANS, ' 'pgrm_ind_Y']",['orig_loan_term']
13,['orig_upb'],"['mi_pct' 'pgrm_ind_Y' 'servicer_name_JPMORGAN CHASE BAN' 'orig_upb'
 'orig_loan_term' 'seller_name_U.S. BANK N.A.' 'seller_name_Other sellers'
 'st_WA' 'pre_relief_prog_N' 'servicer_name_WELLS FARGO BANK, ' 'st_FL'
 'seller_name_CALIBER HOME LOANS, ']","['mi_pct' 'seller_name_Other sellers' 'seller_name_CALIBER HOME LOANS, '
 'orig_loan_term' 'pre_relief_prog_N' 'seller_name_U.S. BANK N.A.'
 'servicer_name_JPMORGAN CHASE BAN' 'orig_upb' 'pgrm_ind_Y' 'st_FL']","['mi_pct' 'orig_loan_term' 'orig_upb' 'servicer_name_JPMORGAN CHASE BAN'
 'seller_name_CALIBER HOME LOANS, ' 'seller_name_Other sellers'
 'pre_relief_prog_N' 'seller_name_U.S. BANK N.A.' 'st_FL'
 'servicer_name_QUICKEN LOANS INC.']","['pre_relief_prog_N' 'orig_loan_term' 'mi_pct'
 'servicer_name_JPMORGAN CHASE BAN' 'orig_upb' 'pgrm_ind_Y'
 'seller_name_Other sellers' 'seller_name_CALIBER HOME LOANS, '
 'seller_name_U.S. BANK N.A.' 'st_FL']","['pre_relief_prog_N' 'seller_name_U.S. BANK N.A.'
 'seller_name_CALIBER HOME LOANS, ' 'servicer_name_JPMORGAN CHASE BAN'
 'pgrm_ind_Y' 'seller_name_Other sellers' 'orig_upb' 'orig_loan_term'
 'mi_pct' 'prop_type_SF']",['pre_relief_prog_N']
14,['mi_pct'],"['orig_loan_term' 'seller_name_Other sellers'
 'servicer_name_JPMORGAN CHASE BAN' 'st_CA' 'pre_relief_prog_N' 'mi_pct'
 'orig_upb' 'st_FL' 'pgrm_ind_Y' 'servicer_name_WELLS FARGO BANK, '
 'rel_ref_ind' 'seller_name_CALIBER HOME LOANS, ' 'prop_type_SF'
 'seller_name_U.S. BANK N.A.' 'servicer_name_QUICKEN LOANS INC.']","['pre_relief_prog_N' 'pgrm_ind_Y' 'mi_pct'
 'servicer_name_JPMORGAN CHASE BAN' 'seller_name_U.S. BANK N.A.'
 'orig_upb' 'prop_type_SF' 'orig_loan_term'
 'seller_name_CALIBER HOME LOANS, ' 'st_FL' 'seller_name_Other sellers']","['pgrm_ind_Y' 'servicer_name_JPMORGAN CHASE BAN' 'mi_pct'
 'seller_name_U.S. BANK N.A.' 'pre_relief_prog_N' 'orig_upb'
 'prop_type_SF' 'orig_loan_term' 'seller_name_Other sellers']","['servicer_name_JPMORGAN CHASE BAN' 'orig_loan_term' 'pgrm_ind_Y' 'mi_pct'
 'servicer_name_QUICKEN LOANS INC.' 'pre_relief_prog_N'
 'seller_name_U.S. BANK N.A.']","['mi_pct' 'pre_relief_prog_N' 'servicer_name_JPMORGAN CHASE BAN'
 'prop_type_SF' 'pgrm_ind_Y' 'orig_loan_term' 'seller_name_U.S. BANK N.A.'
 'orig_upb' 'seller_name_CALIBER HOME LOANS, ' 'seller_name_Other sellers']",['servicer_name_JPMORGAN CHASE BAN']
15,['prop_type_SF'],"['pgrm_ind_Y' 'mi_pct' 'orig_loan_term' 'prop_type_SF'
 'servicer_name_JPMORGAN CHASE BAN' 'pre_relief_prog_N'
 'seller_name_U.S. BANK N.A.' 'st_CA' 'servicer_name_WELLS FARGO BANK, '
 'seller_name_Other sellers' 'servicer_name_TRUIST BANK'
 'seller_name_CALIBER HOME LOANS, ' 'orig_upb' 'channel_R' 'st_FL'
 'rel_ref_ind']","['pgrm_ind_Y' 'seller_name_CALIBER HOME LOANS, ' 'mi_pct'
 'pre_relief_prog_N' 'prop_type_SF' 'servicer_name_JPMORGAN CHASE BAN'
 'orig_loan_term' 'seller_name_U.S. BANK N.A.'
 'servicer_name_WELLS FARGO BANK, ' 'orig_upb' 'st_Other' 'rel_ref_ind']","['servicer_name_WELLS FARGO BANK, ' 'pgrm_ind_Y' 'pre_relief_prog_N'
 'orig_loan_term' 'mi_pct' 'servicer_name_JPMORGAN CHASE BAN'
 'seller_name_CALIBER HOME LOANS, ' 'seller_name_U.S. BANK N.A.'
 'prop_type_SF' 'rel_ref_ind' 'st_CA']","['mi_pct' 'servicer_name_JPMORGAN CHASE BAN' 'pre_relief_prog_N'
 'pgrm_ind_Y' 'prop_type_SF' 'orig_loan_term' 'seller_name_U.S. BANK N.A.'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_CALIBER HOME LOANS, '
 'servicer_name_QUICKEN LOANS INC.']","['servicer_name_JPMORGAN CHASE BAN' 'pgrm_ind_Y' 'pre_relief_prog_N'
 'seller_name_U.S. BANK N.A.' 'seller_name_CALIBER HOME LOANS, ' 'mi_pct'
 'servicer_name_WELLS FARGO BANK, ' 'rel_ref_ind' 'prop_type_SF' 'st_CA'
 'orig_loan_term' 'st_Other']",['mi_pct']
16,['pre_relief_prog_N'],"['rel_ref_ind' 'servicer_name_WELLS FARGO BANK, ' 'st_CA'
 'pre_relief_prog_N' 'pgrm_ind_Y' 'servicer_name_JPMORGAN CHASE BAN'
 'seller_name_U.S. BANK N.A.' 'orig_loan_term'
 'seller_name_CALIBER HOME LOANS, ' 'prop_type_SF' 'mi_pct' 'channel_R'
 'orig_upb']","['servicer_name_JPMORGAN CHASE BAN' 'servicer_name_WELLS FARGO BANK, '
 'prop_type_SF' 'pgrm_ind_Y' 'mi_pct' 'pre_relief_prog_N'
 'seller_name_CALIBER HOME LOANS, ' 'channel_R'
 'seller_name_U.S. BANK N.A.' 'rel_ref_ind'
 'servicer_name_QUICKEN LOANS INC.' 'orig_loan_term' 'st_CA']","['servicer_name_JPMORGAN CHASE BAN' 'pre_relief_prog_N'
 'seller_name_U.S. BANK N.A.' 'pgrm_ind_Y' 'prop_type_SF'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_CALIBER HOME LOANS, '
 'channel_R' 'rel_ref_ind' 'mi_pct' 'servicer_name_QUICKEN LOANS INC.']","['pgrm_ind_Y' 'seller_name_U.S. BANK N.A.'
 'servicer_name_JPMORGAN CHASE BAN' 'servicer_name_QUICKEN LOANS INC.'
 'servicer_name_WELLS FARGO BANK, ' 'pre_relief_prog_N' 'prop_type_SF'
 'mi_pct' 'orig_loan_term' 'rel_ref_ind' 'channel_R'
 'seller_name_CALIBER HOME LOANS, ' 'st_CA']","['pgrm_ind_Y' 'pre_relief_prog_N' 'mi_pct' 'prop_type_SF' 'orig_loan_term'
 'servicer_name_JPMORGAN CHASE BAN' 'seller_name_U.S. BANK N.A.'
 'seller_name_CALIBER HOME LOANS, ' 'st_CA'
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_WELLS FARGO BANK, '
 'channel_R']",['pgrm_ind_Y']
17,['st_CA'],"['seller_name_U.S. BANK N.A.' 'servicer_name_JPMORGAN CHASE BAN'
 'pre_relief_prog_N' 'pgrm_ind_Y' 'loan_purpose_N' 'prop_type_SF'
 'channel_R' 'st_CA' 'servicer_name_QUICKEN LOANS INC.'
 'seller_name_CALIBER HOME LOANS, ' 'mi_pct' 'rel_ref_ind' 'st_Other'
 'servicer_name_WELLS FARGO BANK, ']","['seller_name_U.S. BANK N.A.' 'pre_relief_prog_N'
 'seller_name_CALIBER HOME LOANS, ' 'pgrm_ind_Y'
 'servicer_name_WELLS FARGO BANK, ' 'servicer_name_JPMORGAN CHASE BAN'
 'prop_type_SF' 'channel_R' 'orig_loan_term' 'st_CA'
 'servicer_name_QUICKEN LOANS INC.' 'mi_pct']","['prop_type_SF' 'st_CA' 'servicer_name_JPMORGAN CHASE BAN'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_U.S. BANK N.A.'
 'rel_ref_ind' 'servicer_name_QUICKEN LOANS INC.' 'pgrm_ind_Y' 'channel_R'
 'pre_relief_prog_N' 'loan_purpose_N' 'seller_name_CALIBER HOME LOANS, '
 'mi_pct']","['seller_name_U.S. BANK N.A.' 'pgrm_ind_Y'
 'seller_name_CALIBER HOME LOANS, ' 'prop_type_SF' 'channel_R'
 'servicer_name_WELLS FARGO BANK, ' 'servicer_name_JPMORGAN CHASE BAN'
 'pre_relief_prog_N' 'rel_ref_ind' 'mi_pct']","['prop_type_SF' 'pgrm_ind_Y' 'pre_relief_prog_N'
 'servicer_name_QUICKEN LOANS INC.' 'seller_name_U.S. BANK N.A.'
 'servicer_name_JPMORGAN CHASE BAN' 'seller_name_CALIBER HOME LOANS, '
 'orig_loan_term' 'rel_ref_ind' 'channel_R'
 'servicer_name_WELLS FARGO BANK, ' 'mi_pct' 'st_CA']","['servicer_name_WELLS FARGO BANK, ']"
18,['pgrm_ind_Y'],"['st_CA' 'prop_type_SF' 'orig_loan_term' 'rel_ref_ind' 'channel_R'
 'pgrm_ind_Y' 'servicer_name_JPMORGAN CHASE BAN' 'st_Other'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_U.S. BANK N.A.'
 'pre_relief_prog_N' 'seller_name_CALIBER HOME LOANS, ' 'loan_purpose_N']","['servicer_name_WELLS FARGO BANK, ' 'prop_type_SF' 'pre_relief_prog_N'
 'servicer_name_JPMORGAN CHASE BAN' 'seller_name_CALIBER HOME LOANS, '
 'channel_R' 'seller_name_U.S. BANK N.A.' 'st_CA'
 'servicer_name_QUICKEN LOANS INC.' 'rel_ref_ind' 'pgrm_ind_Y']","['pre_relief_prog_N' 'channel_R' 'servicer_name_WELLS FARGO BANK, '
 'servicer_name_JPMORGAN CHASE BAN' 'prop_type_SF'
 'seller_name_U.S. BANK N.A.' 'pgrm_ind_Y' 'rel_ref_ind' 'st_Other'
 'st_CA' 'seller_name_CALIBER HOME LOANS, '
 'servicer_name_QUICKEN LOANS INC.']","['prop_type_SF' 'servicer_name_WELLS FARGO BANK, ' 'pre_relief_prog_N'
 'seller_name_U.S. BANK N.A.' 'servicer_name_JPMORGAN CHASE BAN'
 'channel_R' 'rel_ref_ind' 'pgrm_ind_Y' 'seller_name_CALIBER HOME LOANS, '
 'st_CA' 'servicer_name_QUICKEN LOANS INC.']","['seller_name_U.S. BANK N.A.' 'seller_name_CALIBER HOME LOANS, '
 'rel_ref_ind' 'prop_type_SF' 'servicer_name_WELLS FARGO BANK, '
 'channel_R' 'pre_relief_prog_N' 'servicer_name_QUICKEN LOANS INC.'
 'servicer_name_JPMORGAN CHASE BAN' 'st_CA' 'pgrm_ind_Y']",['prop_type_SF']
19,['channel_R'],"['seller_name_CALIBER HOME LOANS, ' 'st_CA'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_U.S. BANK N.A.'
 'channel_R' 'rel_ref_ind' 'st_MI' 'pre_relief_prog_N' 'loan_purpose_N'
 'prop_type_SF' 'servicer_name_QUICKEN LOANS INC.'
 'servicer_name_JPMORGAN CHASE BAN' 'seller_name_QUICKEN LOANS INC.'
 'st_Other']","['seller_name_CALIBER HOME LOANS, ' 'seller_name_U.S. BANK N.A.' 'st_CA'
 'prop_type_SF' 'loan_purpose_N' 'channel_R' 'rel_ref_ind'
 'servicer_name_WELLS FARGO BANK, ' 'servicer_name_JPMORGAN CHASE BAN'
 'st_NJ' 'st_Other' 'servicer_name_QUICKEN LOANS INC.' 'pre_relief_prog_N']","['channel_R' 'servicer_name_WELLS FARGO BANK, ' 'prop_type_SF'
 'servicer_name_JPMORGAN CHASE BAN' 'rel_ref_ind'
 'seller_name_U.S. BANK N.A.' 'st_CA' 'pre_relief_prog_N'
 'seller_name_CALIBER HOME LOANS, ' 'loan_purpose_N'
 'servicer_name_QUICKEN LOANS INC.' 'pgrm_ind_Y']","['servicer_name_WELLS FARGO BANK, ' 'channel_R'
 'seller_name_U.S. BANK N.A.' 'seller_name_CALIBER HOME LOANS, '
 'servicer_name_JPMORGAN CHASE BAN' 'servicer_name_TRUIST BANK'
 'rel_ref_ind' 'st_CA' 'servicer_name_QUICKEN LOANS INC.'
 'pre_relief_prog_N' 'prop_type_SF' 'loan_purpose_N']","['rel_ref_ind' 'channel_R' 'prop_type_SF'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_U.S. BANK N.A.'
 'pre_relief_prog_N' 'seller_name_CALIBER HOME LOANS, '
 'servicer_name_JPMORGAN CHASE BAN' 'st_CA' 'loan_purpose_N' 'pgrm_ind_Y']",['rel_ref_ind']
20,['loan_purpose_N'],"['channel_R' 'prop_type_SF' 'rel_ref_ind'
 'seller_name_CALIBER HOME LOANS, ' 'pre_relief_prog_N'
 'servicer_name_JPMORGAN CHASE BAN' 'loan_purpose_N'
 'servicer_name_WELLS FARGO BANK, ' 'st_CA' 'st_TX'
 'seller_name_U.S. BANK N.A.' 'servicer_name_QUICKEN LOANS INC.'
 'st_Other']","['prop_type_SF' 'servicer_name_JPMORGAN CHASE BAN'
 'servicer_name_WELLS FARGO BANK, ' 'channel_R' 'st_CA' 'st_Other'
 'rel_ref_ind' 'seller_name_U.S. BANK N.A.'
 'servicer_name_QUICKEN LOANS INC.' 'seller_name_CALIBER HOME LOANS, '
 'pre_relief_prog_N' 'loan_purpose_N' 'pgrm_ind_Y']","['seller_name_U.S. BANK N.A.' 'channel_R'
 'servicer_name_WELLS FARGO BANK, ' 'prop_type_SF' 'st_CA' 'rel_ref_ind'
 'st_Other' 'pre_relief_prog_N' 'loan_purpose_N'
 'servicer_name_QUICKEN LOANS INC.' 'seller_name_CALIBER HOME LOANS, ']","['rel_ref_ind' 'loan_purpose_N' 'seller_name_CALIBER HOME LOANS, '
 'channel_R' 'prop_type_SF' 'servicer_name_WELLS FARGO BANK, ' 'st_CA'
 'pre_relief_prog_N' 'servicer_name_JPMORGAN CHASE BAN'
 'servicer_name_QUICKEN LOANS INC.' 'seller_name_U.S. BANK N.A.']","['channel_R' 'servicer_name_JPMORGAN CHASE BAN' 'loan_purpose_N'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_U.S. BANK N.A.'
 'seller_name_CALIBER HOME LOANS, ' 'st_CA' 'prop_type_SF' 'rel_ref_ind'
 'pre_relief_prog_N' 'servicer_name_QUICKEN LOANS INC.' 'st_Other']",['channel_R']
21,"['seller_name_CALIBER HOME LOANS, ']","['prop_type_SF' 'seller_name_CALIBER HOME LOANS, ' 'loan_purpose_N'
 'rel_ref_ind' 'channel_R' 'servicer_name_WELLS FARGO BANK, '
 'servicer_name_QUICKEN LOANS INC.' 'seller_name_U.S. BANK N.A.'
 'pre_relief_prog_N' 'st_CA' 'st_Other' 'servicer_name_JPMORGAN CHASE BAN'
 'flag_fthb' 'seller_name_QUICKEN LOANS INC.' 'st_TX' 'channel_C' 'st_MI']","['rel_ref_ind' 'channel_R' 'seller_name_U.S. BANK N.A.'
 'servicer_name_WELLS FARGO BANK, ' 'prop_type_SF' 'loan_purpose_N'
 'st_Other' 'st_CA' 'servicer_name_QUICKEN LOANS INC.' 'pre_relief_prog_N'
 'seller_name_CALIBER HOME LOANS, ' 'servicer_name_JPMORGAN CHASE BAN']","['st_CA' 'servicer_name_QUICKEN LOANS INC.'
 'seller_name_CALIBER HOME LOANS, ' 'channel_R' 'loan_purpose_N'
 'servicer_name_WELLS FARGO BANK, ' 'rel_ref_ind' 'pre_relief_prog_N'
 'seller_name_U.S. BANK N.A.' 'servicer_name_JPMORGAN CHASE BAN'
 'st_Other']","['channel_R' 'seller_name_CALIBER HOME LOANS, '
 'servicer_name_WELLS FARGO BANK, ' 'st_CA' 'rel_ref_ind'
 'seller_name_U.S. BANK N.A.' 'pre_relief_prog_N' 'st_Other'
 'loan_purpose_N' 'st_NJ' 'servicer_name_JPMORGAN CHASE BAN']","['servicer_name_WELLS FARGO BANK, ' 'st_CA' 'seller_name_U.S. BANK N.A.'
 'prop_type_SF' 'pre_relief_prog_N' 'channel_R' 'loan_purpose_N'
 'seller_name_CALIBER HOME LOANS, ' 'st_Other' 'st_TX' 'rel_ref_ind']",['loan_purpose_N']
22,"['servicer_name_WELLS FARGO BANK, ']","['servicer_name_JPMORGAN CHASE BAN' 'loan_purpose_N'
 'seller_name_CALIBER HOME LOANS, ' 'channel_R' 'st_CA'
 'pre_relief_prog_F' 'rel_ref_ind' 'st_Other' 'pre_relief_prog_N'
 'prop_type_SF' 'seller_name_QUICKEN LOANS INC.'
 'servicer_name_TRUIST BANK' 'st_TX' 'servicer_name_WELLS FARGO BANK, '
 'seller_name_U.S. BANK N.A.' 'channel_C'
 'servicer_name_QUICKEN LOANS INC.' 'st_NJ']","['st_CA' 'loan_purpose_N' 'channel_R' 'seller_name_U.S. BANK N.A.'
 'seller_name_CALIBER HOME LOANS, ' 'rel_ref_ind' 'st_TX' 'st_WA' 'st_NJ'
 'servicer_name_WELLS FARGO BANK, ' 'pre_relief_prog_N' 'st_MI' 'st_Other'
 'prop_type_SF' 'servicer_name_QUICKEN LOANS INC.']","['seller_name_CALIBER HOME LOANS, ' 'st_CA' 'loan_purpose_N' 'st_TX'
 'seller_name_U.S. BANK N.A.' 'rel_ref_ind' 'prop_type_SF'
 'servicer_name_WELLS FARGO BANK, ' 'servicer_name_QUICKEN LOANS INC.'
 'channel_R' 'st_Other' 'seller_name_QUICKEN LOANS INC.' 'st_MI'
 'pre_relief_prog_N']","['loan_purpose_N' 'servicer_name_WELLS FARGO BANK, ' 'st_CA'
 'seller_name_CALIBER HOME LOANS, ' 'channel_R' 'rel_ref_ind' 'st_Other'
 'seller_name_U.S. BANK N.A.' 'servicer_name_QUICKEN LOANS INC.' 'st_MI'
 'pre_relief_prog_N' 'servicer_name_JPMORGAN CHASE BAN']","['st_Other' 'loan_purpose_N' 'servicer_name_WELLS FARGO BANK, ' 'st_CA'
 'channel_R' 'rel_ref_ind' 'seller_name_CALIBER HOME LOANS, ' 'st_TX'
 'st_MI' 'seller_name_U.S. BANK N.A.' 'servicer_name_QUICKEN LOANS INC.'
 'pre_relief_prog_N']","['seller_name_CALIBER HOME LOANS, ']"
23,['seller_name_U.S. BANK N.A.'],"['loan_purpose_N' 'channel_C' 'rel_ref_ind'
 'servicer_name_WELLS FARGO BANK, ' 'st_MI' 'st_CA'
 'servicer_name_QUICKEN LOANS INC.' 'st_TX' 'st_Other'
 'seller_name_CALIBER HOME LOANS, ' 'channel_R'
 'seller_name_U.S. BANK N.A.' 'servicer_name_JPMORGAN CHASE BAN'
 'pre_relief_prog_N' 'prop_type_SF' 'seller_name_QUICKEN LOANS INC.'
 'flag_fthb' 'servicer_name_FREEDOM MORTGAGE C'
 'servicer_name_TRUIST BANK']","['channel_R' 'st_CA' 'st_Other' 'loan_purpose_N'
 'seller_name_CALIBER HOME LOANS, ' 'seller_name_U.S. BANK N.A.'
 'rel_ref_ind' 'servicer_name_WELLS FARGO BANK, '
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_JPMORGAN CHASE BAN'
 'pre_relief_prog_N' 'st_TX' 'channel_C']","['seller_name_STEARNS LENDING, LLC' 'seller_name_CALIBER HOME LOANS, '
 'pre_relief_prog_N' 'loan_purpose_N' 'st_CA' 'st_Other' 'channel_R'
 'seller_name_U.S. BANK N.A.' 'rel_ref_ind'
 'servicer_name_WELLS FARGO BANK, ' 'st_MI'
 'servicer_name_QUICKEN LOANS INC.' 'st_TX']","['st_CA' 'rel_ref_ind' 'loan_purpose_N' 'st_TX' 'pre_relief_prog_N'
 'seller_name_CALIBER HOME LOANS, ' 'servicer_name_QUICKEN LOANS INC.'
 'st_Other' 'channel_R' 'servicer_name_WELLS FARGO BANK, '
 'seller_name_U.S. BANK N.A.' 'st_MI' 'flag_fthb'
 'seller_name_QUICKEN LOANS INC.' 'st_NJ']","['seller_name_CALIBER HOME LOANS, ' 'rel_ref_ind' 'channel_R'
 'loan_purpose_N' 'st_CA' 'st_Other' 'st_MI' 'pre_relief_prog_N'
 'seller_name_U.S. BANK N.A.' 'st_TX' 'servicer_name_QUICKEN LOANS INC.'
 'st_CO' 'servicer_name_WELLS FARGO BANK, ']",['st_CA']
24,['st_Other'],"['servicer_name_WELLS FARGO BANK, ' 'pre_relief_prog_N' 'channel_C'
 'loan_purpose_N' 'seller_name_U.S. BANK N.A.' 'st_CA' 'st_TX'
 'seller_name_CALIBER HOME LOANS, ' 'rel_ref_ind'
 'servicer_name_QUICKEN LOANS INC.' 'st_Other'
 'servicer_name_NEW RESIDENTIAL MO' 'st_WA' 'st_NJ' 'st_MI'
 'seller_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK'
 'seller_name_CITIMORTGAGE, INC.' 'servicer_name_JPMORGAN CHASE BAN']","['loan_purpose_N' 'rel_ref_ind' 'servicer_name_QUICKEN LOANS INC.'
 'seller_name_U.S. BANK N.A.' 'st_CA' 'st_Other'
 'servicer_name_TRUIST BANK' 'seller_name_CALIBER HOME LOANS, '
 'seller_name_QUICKEN LOANS INC.' 'servicer_name_WELLS FARGO BANK, '
 'pre_relief_prog_F' 'st_TX' 'channel_C' 'pre_relief_prog_N' 'st_MI']","['loan_purpose_N' 'servicer_name_QUICKEN LOANS INC.' 'st_CA'
 'seller_name_CALIBER HOME LOANS, ' 'st_Other' 'st_TX' 'st_WA'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_U.S. BANK N.A.'
 'rel_ref_ind' 'channel_C' 'flag_fthb' 'pre_relief_prog_F'
 'seller_name_QUICKEN LOANS INC.']","['seller_name_CALIBER HOME LOANS, ' 'st_Other' 'loan_purpose_N' 'st_MI'
 'st_CA' 'servicer_name_WELLS FARGO BANK, '
 'seller_name_QUICKEN LOANS INC.' 'rel_ref_ind' 'st_TX'
 'seller_name_U.S. BANK N.A.' 'servicer_name_TRUIST BANK' 'channel_C'
 'servicer_name_QUICKEN LOANS INC.' 'st_CO']","['st_CA' 'rel_ref_ind' 'st_TX' 'loan_purpose_N'
 'seller_name_CALIBER HOME LOANS, ' 'st_Other' 'st_NJ'
 'servicer_name_WELLS FARGO BANK, ' 'servicer_name_QUICKEN LOANS INC.'
 'seller_name_U.S. BANK N.A.' 'st_MI' 'flag_fthb'
 'seller_name_QUICKEN LOANS INC.' 'channel_C'
 'seller_name_STEARNS LENDING, LLC' 'channel_R']",['seller_name_U.S. BANK N.A.']
25,['rel_ref_ind'],"['pre_relief_prog_F' 'st_TX' 'seller_name_U.S. BANK N.A.' 'st_Other'
 'seller_name_CALIBER HOME LOANS, ' 'st_CA' 'servicer_name_TRUIST BANK'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_QUICKEN LOANS INC.'
 'loan_purpose_N' 'pre_relief_prog_N' 'rel_ref_ind' 'st_MI' 'channel_C'
 'flag_fthb' 'servicer_name_QUICKEN LOANS INC.']","['servicer_name_QUICKEN LOANS INC.' 'rel_ref_ind' 'st_Other' 'st_TX'
 'st_CA' 'loan_purpose_N' 'servicer_name_WELLS FARGO BANK, ' 'channel_C'
 'servicer_name_TRUIST BANK' 'seller_name_CALIBER HOME LOANS, '
 'seller_name_U.S. BANK N.A.' 'flag_fthb' 'st_WA' 'pre_relief_prog_F'
 'st_MI' 'seller_name_QUICKEN LOANS INC.'
 'seller_name_STEARNS LENDING, LLC' 'channel_R']","['rel_ref_ind' 'st_Other' 'pre_relief_prog_F' 'st_TX'
 'seller_name_CALIBER HOME LOANS, ' 'channel_C'
 'seller_name_QUICKEN LOANS INC.' 'seller_name_U.S. BANK N.A.'
 'loan_purpose_N' 'servicer_name_QUICKEN LOANS INC.' 'st_CA' 'st_NJ'
 'servicer_name_WELLS FARGO BANK, ' 'flag_fthb' 'st_MI'
 'servicer_name_TRUIST BANK' 'pre_relief_prog_N' 'st_WA']","['st_TX' 'channel_C' 'loan_purpose_N' 'servicer_name_QUICKEN LOANS INC.'
 'rel_ref_ind' 'st_Other' 'seller_name_QUICKEN LOANS INC.' 'st_CA'
 'flag_fthb' 'servicer_name_TRUIST BANK' 'pre_relief_prog_F' 'st_WA'
 'seller_name_U.S. BANK N.A.' 'seller_name_CALIBER HOME LOANS, ' 'st_MI'
 'st_NJ']","['loan_purpose_N' 'channel_C' 'st_Other' 'rel_ref_ind'
 'seller_name_CALIBER HOME LOANS, ' 'st_CA'
 'servicer_name_QUICKEN LOANS INC.' 'st_TX'
 'seller_name_QUICKEN LOANS INC.' 'pre_relief_prog_F'
 'seller_name_U.S. BANK N.A.' 'flag_fthb' 'st_MI'
 'servicer_name_TRUIST BANK']",['st_Other']
